hour,loc,pollutant,value
1,三重,NO2,33.05041782729805
2,三重,NO2,29.029526462395545
3,三重,NO2,27.006424581005586
4,三重,NO2,25.080222841225623
5,三重,NO2,24.61173184357542
6,三重,NO2,28.701117318435752
7,三重,NO2,35.62849162011173
8,三重,NO2,41.986033519553075
9,三重,NO2,44.83098591549296
10,三重,NO2,46.59887005649718
11,三重,NO2,46.588921282798836
12,三重,NO2,45.9364161849711
13,三重,NO2,43.36
14,三重,NO2,43.35207100591716
15,三重,NO2,44.229166666666664
16,三重,NO2,45.02906976744186
17,三重,NO2,46.41456582633053
18,三重,NO2,48.15469613259668
19,三重,NO2,47.88154269972452
20,三重,NO2,45.54696132596685
21,三重,NO2,43.37845303867403
22,三重,NO2,42.06353591160221
23,三重,NO2,40.80635359116022
24,三重,NO2,37.34972375690608
1,三重,PM10,54.86857142857143
2,三重,PM10,52.74498567335244
3,三重,PM10,51.2
4,三重,PM10,50.15186246418338
5,三重,PM10,49.083333333333336
6,三重,PM10,49.67528735632184
7,三重,PM10,52.264367816091955
8,三重,PM10,58.68103448275862
9,三重,PM10,63.98
10,三重,PM10,68.25356125356126
11,三重,PM10,69.19596541786744
12,三重,PM10,69.86285714285714
13,三重,PM10,68.0
14,三重,PM10,66.0865671641791
15,三重,PM10,64.78717201166181
16,三重,PM10,65.65625
17,三重,PM10,67.34831460674157
18,三重,PM10,66.99154929577465
19,三重,PM10,67.21126760563381
20,三重,PM10,66.77401129943503
21,三重,PM10,64.57627118644068
22,三重,PM10,62.240793201133144
23,三重,PM10,59.813031161473084
24,三重,PM10,57.58923512747875
1,三重,SO2,2.7580441640378566
2,三重,SO2,2.535761589403974
3,三重,SO2,2.5415584415584433
4,三重,SO2,2.5000000000000004
5,三重,SO2,2.4561290322580644
6,三重,SO2,2.6743589743589746
7,三重,SO2,3.371384615384622
8,三重,SO2,4.208761329305137
9,三重,SO2,4.371951219512197
10,三重,SO2,4.023333333333335
11,三重,SO2,3.7108024691358037
12,三重,SO2,3.5094801223241587
13,三重,SO2,3.302461538461537
14,三重,SO2,3.1708860759493653
15,三重,SO2,3.194801223241591
16,三重,SO2,3.2435820895522385
17,三重,SO2,3.346312684365781
18,三重,SO2,3.6858407079646005
19,三重,SO2,3.889149560117303
20,三重,SO2,3.6923529411764697
21,三重,SO2,3.5642011834319556
22,三重,SO2,3.6094955489614247
23,三重,SO2,3.484523809523811
24,三重,SO2,3.114029850746268
1,中壢,NO2,20.410055865921787
2,中壢,NO2,17.444662921348314
3,中壢,NO2,16.0028653295129
4,中壢,NO2,14.952824858757063
5,中壢,NO2,14.817847025495748
6,中壢,NO2,17.40676056338028
7,中壢,NO2,25.23971830985915
8,中壢,NO2,30.360281690140845
9,中壢,NO2,30.100847457627122
10,中壢,NO2,30.473728813559323
11,中壢,NO2,30.30916905444126
12,中壢,NO2,29.24550898203593
13,中壢,NO2,26.522965116279067
14,中壢,NO2,25.954571428571423
15,中壢,NO2,26.77522123893805
16,中壢,NO2,29.133522727272727
17,中壢,NO2,31.40223463687151
18,中壢,NO2,34.70914127423823
19,中壢,NO2,35.34444444444444
20,中壢,NO2,33.818784530386736
21,中壢,NO2,32.892265193370164
22,中壢,NO2,32.30939226519337
23,中壢,NO2,28.56574585635359
24,中壢,NO2,24.012742382271465
1,中壢,PM10,59.386740331491715
2,中壢,PM10,56.70360110803324
3,中壢,PM10,53.77158774373259
4,中壢,PM10,52.874301675977655
5,中壢,PM10,51.99162011173184
6,中壢,PM10,52.21348314606742
7,中壢,PM10,55.067796610169495
8,中壢,PM10,60.48414985590778
9,中壢,PM10,64.72886297376094
10,中壢,PM10,66.93768545994065
11,中壢,PM10,66.66463414634147
12,中壢,PM10,66.6470588235294
13,中壢,PM10,66.35223880597015
14,中壢,PM10,65.31987577639751
15,中壢,PM10,65.13897280966768
16,中壢,PM10,65.49266862170089
17,中壢,PM10,65.91253644314868
18,中壢,PM10,66.76657060518733
19,中壢,PM10,68.17696629213484
20,中壢,PM10,67.42659279778394
21,中壢,PM10,66.02486187845304
22,中壢,PM10,65.49862258953168
23,中壢,PM10,64.39285714285714
24,中壢,PM10,62.63636363636363
1,中壢,SO2,4.34241573033708
2,中壢,SO2,3.9471751412429414
3,中壢,SO2,3.8375000000000017
4,中壢,SO2,3.7857549857549837
5,中壢,SO2,3.8528571428571383
6,中壢,SO2,4.073638968481377
7,中壢,SO2,4.911461318051578
8,中壢,SO2,5.76647564469914
9,中壢,SO2,5.542979942693409
10,中壢,SO2,5.2736389684813725
11,中壢,SO2,4.789855072463766
12,中壢,SO2,4.311676646706583
13,中壢,SO2,4.037941176470587
14,中壢,SO2,3.83333333333333
15,中壢,SO2,3.656586826347308
16,中壢,SO2,3.7497142857142864
17,中壢,SO2,3.865642458100559
18,中壢,SO2,4.383519553072626
19,中壢,SO2,4.838375350140055
20,中壢,SO2,5.054596100278552
21,中壢,SO2,5.249025069637882
22,中壢,SO2,5.42367688022284
23,中壢,SO2,5.266852367688022
24,中壢,SO2,4.714525139664806
1,中山,NO2,21.622950819672123
2,中山,NO2,18.646005509641867
3,中山,NO2,16.984890109890106
4,中山,NO2,15.09083333333333
5,中山,NO2,14.261281337047347
6,中山,NO2,15.51325966850829
7,中山,NO2,21.254395604395604
8,中山,NO2,27.531868131868126
9,中山,NO2,31.385318559556783
10,中山,NO2,31.55124653739612
11,中山,NO2,29.769452449567723
12,中山,NO2,27.57029411764706
13,中山,NO2,25.555780346820807
14,中山,NO2,25.200569800569795
15,中山,NO2,26.38510028653295
16,中山,NO2,27.896348314606737
17,中山,NO2,30.714444444444446
18,中山,NO2,34.80358126721763
19,中山,NO2,37.392876712328764
20,中山,NO2,35.42876712328767
21,中山,NO2,33.02246575342466
22,中山,NO2,31.43516483516484
23,中山,NO2,30.10136612021858
24,中山,NO2,25.99754098360656
1,中山,PM10,41.24293785310734
2,中山,PM10,38.6169014084507
3,中山,PM10,38.0
4,中山,PM10,36.60734463276836
5,中山,PM10,35.898305084745765
6,中山,PM10,34.813559322033896
7,中山,PM10,35.50282485875706
8,中山,PM10,37.352112676056336
9,中山,PM10,40.29661016949152
10,中山,PM10,44.48450704225352
11,中山,PM10,47.38053097345133
12,中山,PM10,49.72334293948127
13,中山,PM10,50.332394366197185
14,中山,PM10,48.3448275862069
15,中山,PM10,47.54022988505747
16,中山,PM10,47.46742209631728
17,中山,PM10,47.49152542372882
18,中山,PM10,47.240793201133144
19,中山,PM10,46.706214689265536
20,中山,PM10,45.77183098591549
21,中山,PM10,44.48732394366197
22,中山,PM10,42.55211267605634
23,中山,PM10,43.22816901408451
24,中山,PM10,42.355932203389834
1,中山,SO2,2.679831932773111
2,中山,SO2,2.7088888888888905
3,中山,SO2,2.674651810584958
4,中山,SO2,2.657103064066851
5,中山,SO2,2.4532212885154046
6,中山,SO2,2.4280112044817934
7,中山,SO2,2.6117647058823517
8,中山,SO2,3.061731843575419
9,中山,SO2,3.4107648725212463
10,中山,SO2,3.1929178470254946
11,中山,SO2,3.033137829912022
12,中山,SO2,2.9577039274924473
13,中山,SO2,2.911403508771931
14,中山,SO2,2.9179710144927546
15,中山,SO2,2.914825581395351
16,中山,SO2,2.794508670520231
17,中山,SO2,2.782865168539325
18,中山,SO2,2.8626740947075215
19,中山,SO2,3.0709141274238236
20,中山,SO2,2.9401114206128103
21,中山,SO2,2.761173184357542
22,中山,SO2,2.874438202247192
23,中山,SO2,2.89887955182073
24,中山,SO2,2.8159663865546203
1,古亭,NO2,16.125619834710744
2,古亭,NO2,13.43543956043957
3,古亭,NO2,11.81101928374655
4,古亭,NO2,10.436639118457308
5,古亭,NO2,10.03002754820937
6,古亭,NO2,11.581818181818178
7,古亭,NO2,17.19393939393939
8,古亭,NO2,22.201104972375692
9,古亭,NO2,24.512569832402235
10,古亭,NO2,24.620775623268703
11,古亭,NO2,22.95185185185185
12,古亭,NO2,21.756321839080464
13,古亭,NO2,20.322905027932965
14,古亭,NO2,19.687499999999996
15,古亭,NO2,20.983625730994156
16,古亭,NO2,22.29192200557103
17,古亭,NO2,24.62651933701657
18,古亭,NO2,28.254545454545454
19,古亭,NO2,30.21126373626374
20,古亭,NO2,28.48708791208791
21,古亭,NO2,26.100546448087428
22,古亭,NO2,25.14672131147541
23,古亭,NO2,23.981693989071037
24,古亭,NO2,20.073626373626368
1,古亭,PM10,42.13597733711048
2,古亭,PM10,40.53389830508475
3,古亭,PM10,39.03399433427762
4,古亭,PM10,38.61756373937677
5,古亭,PM10,38.22379603399433
6,古亭,PM10,37.85552407932011
7,古亭,PM10,38.20963172804532
8,古亭,PM10,39.91477272727273
9,古亭,PM10,43.650704225352115
10,古亭,PM10,46.67134831460674
11,古亭,PM10,48.39710144927536
12,古亭,PM10,50.44159544159544
13,古亭,PM10,51.598314606741575
14,古亭,PM10,51.81120943952802
15,古亭,PM10,51.23906705539358
16,古亭,PM10,51.43258426966292
17,古亭,PM10,51.13687150837989
18,古亭,PM10,50.650837988826815
19,古亭,PM10,49.589385474860336
20,古亭,PM10,48.55865921787709
21,古亭,PM10,47.1731843575419
22,古亭,PM10,46.1536312849162
23,古亭,PM10,44.82913165266106
24,古亭,PM10,43.752112676056335
1,古亭,SO2,2.138842975206612
2,古亭,SO2,2.0469780219780245
3,古亭,SO2,2.055371900826444
4,古亭,SO2,2.0457300275482093
5,古亭,SO2,1.986501377410469
6,古亭,SO2,1.9674931129476578
7,古亭,SO2,2.148760330578512
8,古亭,SO2,2.4856353591160225
9,古亭,SO2,2.8049999999999997
10,古亭,SO2,2.901104972375691
11,古亭,SO2,2.9234463276836173
12,古亭,SO2,2.9997134670487107
13,古亭,SO2,3.028690807799444
14,古亭,SO2,3.051704545454547
15,古亭,SO2,3.0463976945244933
16,古亭,SO2,2.961838440111423
17,古亭,SO2,2.9991758241758255
18,古亭,SO2,3.0767759562841546
19,古亭,SO2,3.0844262295081983
20,古亭,SO2,2.8830601092896155
21,古亭,SO2,2.6983606557377047
22,古亭,SO2,2.586612021857923
23,古亭,SO2,2.4699453551912556
24,古亭,SO2,2.287637362637364
1,土城,NO2,16.523691460055094
2,土城,NO2,14.123691460055095
3,土城,NO2,12.795041322314052
4,土城,NO2,12.164364640883978
5,土城,NO2,11.711357340720227
6,土城,NO2,12.868144044321332
7,土城,NO2,16.762326869806095
8,土城,NO2,20.870637119113567
9,土城,NO2,21.8725
10,土城,NO2,20.152222222222214
11,土城,NO2,17.456484149855907
12,土城,NO2,16.05706214689266
13,土城,NO2,14.972727272727274
14,土城,NO2,14.61563421828908
15,土城,NO2,15.878223495702002
16,土城,NO2,17.502247191011236
17,土城,NO2,19.554189944134077
18,土城,NO2,22.304456824512542
19,土城,NO2,25.23176795580111
20,土城,NO2,24.706060606060603
21,土城,NO2,23.054820936639114
22,土城,NO2,22.163636363636368
23,土城,NO2,21.155524861878455
24,土城,NO2,19.09696969696969
1,土城,PM10,37.598853868194844
2,土城,PM10,35.95988538681949
3,土城,PM10,34.14739884393064
4,土城,PM10,33.005780346820806
5,土城,PM10,32.25581395348837
6,土城,PM10,33.299418604651166
7,土城,PM10,35.655072463768114
8,土城,PM10,38.71965317919075
9,土城,PM10,41.73487031700288
10,土城,PM10,41.7304347826087
11,土城,PM10,40.61538461538461
12,土城,PM10,41.00867052023121
13,土城,PM10,42.50581395348837
14,土城,PM10,42.4054054054054
15,土城,PM10,42.73623188405797
16,土城,PM10,41.25936599423631
17,土城,PM10,40.60806916426513
18,土城,PM10,40.43266475644699
19,土城,PM10,41.693409742120345
20,土城,PM10,41.51862464183381
21,土城,PM10,40.43553008595988
22,土城,PM10,39.70402298850575
23,土城,PM10,38.85014409221902
24,土城,PM10,38.31123919308357
1,土城,SO2,2.699999999999999
2,土城,SO2,2.7314049586776874
3,土城,SO2,2.6300275482093673
4,土城,SO2,2.7461325966850825
5,土城,SO2,2.6778393351800545
6,土城,SO2,2.7587257617728524
7,土城,SO2,3.3027700831024953
8,土城,SO2,4.015789473684209
9,土城,SO2,4.179665738161561
10,土城,SO2,3.9228412256267395
11,土城,SO2,3.4692753623188417
12,土城,SO2,3.384857142857143
13,土城,SO2,3.41323943661972
14,土城,SO2,3.4191860465116273
15,土城,SO2,3.585835694050989
16,土城,SO2,3.5606741573033713
17,土城,SO2,3.3221606648199438
18,土城,SO2,3.168784530386741
19,土城,SO2,3.099173553719007
20,土城,SO2,2.9504132231404983
21,土城,SO2,2.7735537190082646
22,土城,SO2,2.798898071625345
23,土城,SO2,2.760497237569061
24,土城,SO2,2.700275482093663
1,基隆,NO2,10.886350974930362
2,基隆,NO2,9.85125348189415
3,基隆,NO2,9.167966573816155
4,基隆,NO2,8.754722222222215
5,基隆,NO2,8.741944444444446
6,基隆,NO2,9.550277777777781
7,基隆,NO2,12.31480446927375
8,基隆,NO2,14.92408963585434
9,基隆,NO2,13.237604456824515
10,基隆,NO2,11.983988764044936
11,基隆,NO2,10.746017699115045
12,基隆,NO2,9.53063063063063
13,基隆,NO2,8.802005730659024
14,基隆,NO2,8.499147727272739
15,基隆,NO2,8.759025787965616
16,基隆,NO2,9.813675213675209
17,基隆,NO2,11.490807799442896
18,基隆,NO2,13.088121546961318
19,基隆,NO2,14.143646408839771
20,基隆,NO2,14.64033149171271
21,基隆,NO2,14.205248618784529
22,基隆,NO2,14.519613259668505
23,基隆,NO2,13.583656509695288
24,基隆,NO2,12.195844875346262
1,基隆,PM10,28.949295774647887
2,基隆,PM10,27.79718309859155
3,基隆,PM10,27.219718309859154
4,基隆,PM10,28.3135593220339
5,基隆,PM10,27.487323943661973
6,基隆,PM10,27.688235294117646
7,基隆,PM10,27.362068965517242
8,基隆,PM10,29.618233618233617
9,基隆,PM10,29.980225988700564
10,基隆,PM10,29.222857142857144
11,基隆,PM10,29.90342679127726
12,基隆,PM10,31.825443786982248
13,基隆,PM10,31.857954545454547
14,基隆,PM10,31.280802292263612
15,基隆,PM10,30.905982905982906
16,基隆,PM10,32.535612535612536
17,基隆,PM10,31.036931818181817
18,基隆,PM10,30.36094674556213
19,基隆,PM10,30.020588235294117
20,基隆,PM10,29.332386363636363
21,基隆,PM10,29.0561797752809
22,基隆,PM10,28.296296296296298
23,基隆,PM10,28.03943661971831
24,基隆,PM10,28.71629213483146
1,基隆,SO2,1.8112044817927178
2,基隆,SO2,1.7699164345403886
3,基隆,SO2,1.745403899721446
4,基隆,SO2,1.748189415041784
5,基隆,SO2,1.9298050139275778
6,基隆,SO2,1.8994428969359325
7,基隆,SO2,2.061452513966482
8,基隆,SO2,2.468435754189945
9,基隆,SO2,2.847632311977716
10,基隆,SO2,2.8721910112359543
11,基隆,SO2,2.911834319526626
12,基隆,SO2,2.6682492581602357
13,基隆,SO2,2.832664756446992
14,基隆,SO2,2.480453257790369
15,基隆,SO2,2.576836158192093
16,基隆,SO2,2.6830508474576273
17,基隆,SO2,2.625977653631285
18,基隆,SO2,2.5933333333333333
19,基隆,SO2,2.497506925207757
20,基隆,SO2,2.1240997229916894
21,基隆,SO2,1.8490304709141268
22,基隆,SO2,1.8722991689750692
23,基隆,SO2,1.7908333333333335
24,基隆,SO2,1.765277777777779
1,士林,NO2,13.377192982456132
2,士林,NO2,12.127058823529408
3,士林,NO2,11.513353115727007
4,士林,NO2,10.511854103343468
5,士林,NO2,10.210303030303036
6,士林,NO2,10.823738872403558
7,士林,NO2,13.317094017094018
8,士林,NO2,16.764804469273738
9,士林,NO2,18.550139275766018
10,士林,NO2,18.091922005571025
11,士林,NO2,16.46470588235295
12,士林,NO2,14.171428571428565
13,士林,NO2,11.691117478510028
14,士林,NO2,11.322636103151867
15,士林,NO2,12.318475073313792
16,士林,NO2,13.483620689655178
17,士林,NO2,15.449014084507043
18,士林,NO2,17.572346368715078
19,士林,NO2,18.514730878186963
20,士林,NO2,17.836827195467425
21,士林,NO2,17.097746478873233
22,士林,NO2,17.138135593220337
23,士林,NO2,17.12549575070822
24,士林,NO2,15.437037037037031
1,士林,PM10,39.692957746478875
2,士林,PM10,38.4180790960452
3,士林,PM10,37.31549295774648
4,士林,PM10,37.19662921348315
5,士林,PM10,37.21910112359551
6,士林,PM10,36.747191011235955
7,士林,PM10,36.6376404494382
8,士林,PM10,38.47605633802817
9,士林,PM10,41.245810055865924
10,士林,PM10,45.02247191011236
11,士林,PM10,47.296407185628745
12,士林,PM10,48.365269461077844
13,士林,PM10,48.03125
14,士林,PM10,46.73428571428571
15,士林,PM10,45.324786324786324
16,士林,PM10,45.910614525139664
17,士林,PM10,46.252100840336134
18,士林,PM10,46.5195530726257
19,士林,PM10,46.324022346368714
20,士林,PM10,45.58100558659218
21,士林,PM10,44.06703910614525
22,士林,PM10,42.67226890756302
23,士林,PM10,41.411764705882355
24,士林,PM10,40.96078431372549
1,士林,SO2,2.250413223140494
2,士林,SO2,2.178236914600552
3,士林,SO2,2.1862258953168054
4,士林,SO2,2.241758241758239
5,士林,SO2,2.2642857142857147
6,士林,SO2,2.1901098901098903
7,士林,SO2,2.3096153846153835
8,士林,SO2,2.552197802197802
9,士林,SO2,2.7851648351648346
10,士林,SO2,2.8764383561643827
11,士林,SO2,2.760818713450291
12,士林,SO2,2.7068452380952364
13,士林,SO2,2.5274011299435015
14,士林,SO2,2.388202247191011
15,士林,SO2,2.387535410764874
16,士林,SO2,2.3733893557422974
17,士林,SO2,2.3038674033149182
18,士林,SO2,2.2569863013698646
19,士林,SO2,2.1956284153005443
20,士林,SO2,2.178142076502733
21,士林,SO2,2.2150273224043735
22,士林,SO2,2.187671232876712
23,士林,SO2,2.1597260273972583
24,士林,SO2,2.221369863013698
1,大同,NO2,25.817486338797806
2,大同,NO2,22.059392265193367
3,大同,NO2,19.954929577464785
4,大同,NO2,18.00140845070423
5,大同,NO2,17.449861495844875
6,大同,NO2,20.17961432506887
7,大同,NO2,28.2702479338843
8,大同,NO2,35.89807162534435
9,大同,NO2,39.60853994490358
10,大同,NO2,40.00249307479224
11,大同,NO2,38.8954802259887
12,大同,NO2,36.11079545454545
13,大同,NO2,32.41805157593123
14,大同,NO2,31.823546511627907
15,大同,NO2,33.36094674556213
16,大同,NO2,34.86552706552706
17,大同,NO2,37.410555555555554
18,大同,NO2,41.09192200557103
19,大同,NO2,42.36914600550964
20,大同,NO2,40.95616438356164
21,大同,NO2,38.453005464480874
22,大同,NO2,37.62540983606558
23,大同,NO2,35.93415300546449
24,大同,NO2,31.34398907103825
1,大同,PM10,47.79608938547486
2,大同,PM10,43.78491620111732
3,大同,PM10,41.5214899713467
4,大同,PM10,40.674351585014406
5,大同,PM10,39.654178674351584
6,大同,PM10,39.69121813031161
7,大同,PM10,42.03661971830986
8,大同,PM10,48.15774647887324
9,大同,PM10,53.752112676056335
10,大同,PM10,57.36619718309859
11,大同,PM10,58.297994269340975
12,大同,PM10,58.10198300283286
13,大同,PM10,56.10115606936416
14,大同,PM10,54.10914454277286
15,大同,PM10,53.89910979228487
16,大同,PM10,54.54829545454545
17,大同,PM10,56.14565826330532
18,大同,PM10,57.34453781512605
19,大同,PM10,58.38655462184874
20,大同,PM10,58.555865921787706
21,大同,PM10,56.64525139664804
22,大同,PM10,54.98324022346369
23,大同,PM10,53.410614525139664
24,大同,PM10,51.26536312849162
1,大同,SO2,3.0210958904109586
2,大同,SO2,2.741712707182321
3,大同,SO2,2.658379888268155
4,大同,SO2,2.508938547486032
5,大同,SO2,2.3739612188365635
6,大同,SO2,2.453591160220993
7,大同,SO2,3.134530386740331
8,大同,SO2,4.387016574585635
9,大同,SO2,4.801104972375688
10,大同,SO2,4.200831024930746
11,大同,SO2,3.7691218130311626
12,大同,SO2,3.473371104815864
13,大同,SO2,3.336000000000001
14,大同,SO2,3.1915942028985516
15,大同,SO2,3.192647058823527
16,大同,SO2,3.1402857142857132
17,大同,SO2,3.3520891364902514
18,大同,SO2,3.8958563535911552
19,大同,SO2,4.371232876712324
20,大同,SO2,4.258904109589034
21,大同,SO2,3.990983606557379
22,大同,SO2,4.11912568306011
23,大同,SO2,4.134699453551912
24,大同,SO2,3.5156164383561643
1,大園,NO2,17.413934426229513
2,大園,NO2,14.985792349726779
3,大園,NO2,13.722404371584698
4,大園,NO2,12.732054794520556
5,大園,NO2,12.850000000000003
6,大園,NO2,14.109836065573768
7,大園,NO2,16.45327868852459
8,大園,NO2,17.825136612021858
9,大園,NO2,17.663835616438355
10,大園,NO2,16.48539944903581
11,大園,NO2,15.452407932011326
12,大園,NO2,14.135207100591712
13,大園,NO2,12.84700854700855
14,大園,NO2,12.783236994219651
15,大園,NO2,13.47771260997067
16,大園,NO2,14.177616279069763
17,大園,NO2,15.976880222841217
18,大園,NO2,17.974175824175827
19,大園,NO2,18.46912568306011
20,大園,NO2,18.885479452054796
21,大園,NO2,19.21945205479452
22,大園,NO2,18.74918032786885
23,大園,NO2,18.402732240437157
