,no,date,lon,lat,depth,scale,month
34,小區域,2013-06-10 15:14:00,121.48,23.79,11.3,2.9,6
36,小區域,2013-06-11 10:48:00,120.71,23.54,7.4,3.1,6
38,小區域,2013-06-12 07:25:00,121.76,24.26,16.0,3.0,6
40,小區域,2013-06-13 13:15:00,121.96,24.45,21.0,3.3,6
42,小區域,2013-06-14 03:55:00,121.44,24.33,6.2,3.7,6
44,小區域,2013-06-15 10:32:00,121.58,21.92,12.4,3.3,6
46,小區域,2013-06-16 08:33:00,121.48,24.29,6.4,3.3,6
48,小區域,2013-06-17 16:18:00,121.49,24.28,6.4,3.7,6
50,小區域,2013-06-17 19:32:00,120.96,23.69,13.1,3.6,6
52,小區域,2013-06-18 03:37:00,122.21,24.78,8.7,4.0,6
54,小區域,2013-06-18 04:45:00,120.98,23.93,7.8,3.1,6
56,小區域,2013-06-18 05:10:00,120.98,23.93,8.4,2.6,6
58,小區域,2013-06-19 17:16:00,121.49,24.28,6.4,3.2,6
60,第079號,2013-06-20 13:18:00,121.64,24.34,24.2,3.8,6
62,第080號,2013-06-20 23:11:00,121.48,23.91,15.1,4.1,6
64,小區域,2013-06-21 02:22:00,121.41,23.75,19.8,2.8,6
66,小區域,2013-06-21 12:51:00,120.97,23.93,8.4,3.3,6
68,小區域,2013-06-21 19:02:00,121.48,23.71,6.9,2.6,6
70,第081號,2013-06-21 21:38:00,121.49,24.28,5.3,3.9,6
72,小區域,2013-06-24 09:08:00,121.48,24.29,6.3,3.0,6
74,小區域,2013-06-24 10:16:00,121.93,24.29,14.7,3.7,6
76,小區域,2013-06-24 13:57:00,121.43,24.39,7.0,3.1,6
78,小區域,2013-06-25 06:41:00,122.04,24.85,10.3,3.7,6
80,小區域,2013-06-25 11:00:00,122.08,24.84,6.7,3.6,6
82,小區域,2013-06-26 03:56:00,122.04,24.85,13.5,3.9,6
84,小區域,2013-06-26 04:38:00,121.45,23.31,26.1,3.6,6
86,小區域,2013-06-26 04:48:00,122.05,24.84,10.2,3.8,6
88,小區域,2013-06-26 17:57:00,121.47,23.92,15.2,2.4,6
90,第082號,2013-06-26 18:19:00,121.87,24.79,10.0,4.5,6
92,小區域,2013-06-27 07:35:00,120.96,23.21,6.0,3.4,6
94,小區域,2013-06-28 15:31:00,121.4,22.2,21.0,3.8,6
96,第083號,2013-06-29 06:13:00,121.83,24.42,12.0,3.5,6
98,第084號,2013-06-29 07:51:00,122.24,24.03,19.8,5.7,6
100,小區域,2013-06-30 12:06:00,120.02,22.37,35.3,2.9,6
102,小區域,2013-06-30 12:45:00,121.0,23.99,16.3,3.9,6
104,小區域,2013-06-30 12:57:00,121.01,24.0,16.3,4.1,6
106,小區域,2013-06-30 13:35:00,121.0,24.0,16.6,3.4,6
108,小區域,2013-06-30 20:36:00,121.01,24.0,16.9,3.8,6
0,小區域,2013-07-02 02:08:00,121.91,24.3,7.4,3.9,7
2,第085號,2013-07-03 16:14:00,121.94,24.45,12.3,3.9,7
4,小區域,2013-07-04 01:02:00,121.79,24.29,14.2,3.3,7
6,小區域,2013-07-04 16:26:00,121.38,23.0,19.3,3.2,7
8,第086號,2013-07-06 12:17:00,121.33,22.84,21.2,4.1,7
10,小區域,2013-07-06 13:15:00,121.44,24.24,7.2,3.0,7
12,小區域,2013-07-09 23:50:00,121.48,24.29,6.8,3.7,7
14,小區域,2013-07-10 17:18:00,121.49,24.28,5.5,3.3,7
16,小區域,2013-07-11 13:44:00,121.64,24.33,24.0,3.5,7
18,第087號,2013-07-11 13:55:00,121.63,24.33,23.5,3.4,7
20,小區域,2013-07-11 21:10:00,121.67,23.79,22.6,3.3,7
22,小區域,2013-07-12 18:34:00,121.58,21.9,9.5,3.1,7
24,第088號,2013-07-15 03:24:00,120.91,22.97,1.7,4.6,7
26,小區域,2013-07-15 06:01:00,120.91,22.98,4.5,3.4,7
28,小區域,2013-07-15 08:18:00,120.48,23.43,10.8,2.6,7
30,第089號,2013-07-15 21:41:00,122.84,23.76,40.0,5.7,7
32,小區域,2013-07-15 23:01:00,121.05,23.96,19.1,4.0,7
34,小區域,2013-07-16 13:55:00,121.79,24.4,12.6,2.6,7
36,第090號,2013-07-16 18:11:00,121.5,24.28,4.9,5.5,7
38,小區域,2013-07-16 18:14:00,121.48,24.28,7.5,3.2,7
40,小區域,2013-07-16 18:41:00,121.49,24.29,5.7,3.6,7
42,小區域,2013-07-17 03:29:00,121.48,24.28,6.9,3.1,7
44,小區域,2013-07-18 08:28:00,120.91,22.97,4.3,3.5,7
46,第091號,2013-07-21 03:19:00,121.49,24.28,5.1,4.3,7
48,小區域,2013-07-21 13:22:00,121.62,24.03,9.0,2.7,7
50,小區域,2013-07-21 13:55:00,121.48,23.91,14.9,3.3,7
52,小區域,2013-07-21 20:35:00,121.63,24.34,23.5,2.9,7
54,小區域,2013-07-21 20:49:00,120.91,24.05,24.2,3.4,7
56,第092號,2013-07-23 00:00:00,120.88,24.24,31.9,3.2,7
58,小區域,2013-07-23 10:24:00,121.37,22.99,34.7,3.4,7
60,第093號,2013-07-24 22:47:00,121.53,23.91,9.1,4.8,7
62,小區域,2013-07-24 23:00:00,121.51,23.91,9.3,2.3,7
64,第094號,2013-07-24 23:32:00,121.53,23.91,10.6,5.0,7
66,第095號,2013-07-24 23:41:00,121.52,23.9,10.9,4.3,7
68,小區域,2013-07-24 23:46:00,121.52,23.9,9.0,2.5,7
70,小區域,2013-07-25 02:27:00,121.52,23.88,7.9,2.6,7
72,第096號,2013-07-25 17:12:00,121.2,23.15,10.6,3.9,7
74,小區域,2013-07-26 17:39:00,121.29,23.15,7.4,2.9,7
76,小區域,2013-07-28 00:49:00,121.84,24.39,10.7,2.5,7
78,小區域,2013-07-28 22:20:00,121.52,23.89,8.9,2.4,7
80,小區域,2013-07-29 12:00:00,121.61,23.57,33.1,3.4,7
0,小區域,2013-08-02 20:31:00,121.89,24.51,29.8,3.4,8
2,小區域,2013-08-03 00:37:00,121.48,22.99,22.2,3.3,8
4,小區域,2013-08-03 02:57:00,122.12,24.37,58.4,4.3,8
6,小區域,2013-08-03 07:18:00,121.39,22.91,21.1,3.7,8
8,小區域,2013-08-03 16:04:00,121.47,23.78,11.2,3.0,8
10,小區域,2013-08-04 17:55:00,121.87,24.3,24.1,3.6,8
12,小區域,2013-08-05 02:57:00,121.77,24.27,49.5,3.8,8
14,小區域,2013-08-07 20:20:00,121.74,24.45,8.4,2.7,8
16,小區域,2013-08-07 21:04:00,121.93,24.48,15.6,3.1,8
18,小區域,2013-08-08 10:43:00,121.9,24.43,22.7,3.4,8
20,小區域,2013-08-09 05:48:00,121.74,24.26,13.8,3.0,8
22,第097號,2013-08-09 06:47:00,121.74,24.26,13.0,3.8,8
24,小區域,2013-08-09 07:02:00,121.73,24.26,14.2,2.8,8
26,小區域,2013-08-09 19:44:00,121.73,24.26,12.7,2.7,8
28,小區域,2013-08-09 19:45:00,121.73,24.25,12.8,3.2,8
30,小區域,2013-08-10 00:13:00,120.98,24.69,9.1,2.6,8
32,小區域,2013-08-11 02:35:00,121.64,24.42,44.9,3.2,8
34,小區域,2013-08-12 00:29:00,121.56,23.56,32.9,3.4,8
36,小區域,2013-08-12 10:02:00,121.51,24.07,21.6,2.8,8
38,小區域,2013-08-12 17:38:00,121.86,24.78,9.3,3.4,8
40,小區域,2013-08-12 20:58:00,121.78,24.24,17.2,3.5,8
42,小區域,2013-08-12 21:03:00,121.78,24.24,16.6,3.2,8
44,小區域,2013-08-13 00:24:00,121.79,24.24,16.9,3.1,8
46,第098號,2013-08-13 00:25:00,121.78,24.24,17.6,3.9,8
48,小區域,2013-08-14 09:11:00,121.37,23.12,21.8,3.8,8
50,小區域,2013-08-16 03:37:00,120.19,23.9,29.4,3.1,8
52,小區域,2013-08-16 20:36:00,121.38,22.09,18.4,3.9,8
54,小區域,2013-08-17 08:58:00,121.39,22.1,21.0,3.6,8
56,小區域,2013-08-17 17:20:00,120.19,23.89,29.1,3.1,8
58,小區域,2013-08-18 22:57:00,122.48,23.95,28.1,4.8,8
60,小區域,2013-08-19 22:54:00,121.57,23.58,33.1,3.9,8
62,小區域,2013-08-23 05:02:00,118.75,25.64,18.0,5.0,8
63,小區域,2013-08-23 12:04:00,121.8,24.31,14.7,2.7,8
65,第099號,2013-08-24 22:46:00,121.04,23.89,18.9,4.7,8
67,小區域,2013-08-27 15:05:00,121.4,22.92,22.3,3.1,8
69,小區域,2013-08-27 16:25:00,121.99,24.47,12.2,3.0,8
71,小區域,2013-08-28 19:55:00,121.76,24.15,43.6,4.4,8
73,小區域,2013-08-29 08:53:00,120.89,23.9,7.4,2.7,8
75,小區域,2013-08-29 13:07:00,121.69,24.15,9.6,2.7,8
77,第100號,2013-08-29 20:23:00,121.75,24.25,13.8,3.5,8
79,小區域,2013-08-29 21:54:00,121.73,24.26,11.4,3.2,8
0,小區域,2013-09-01 09:02:00,121.98,24.45,13.0,3.5,9
2,小區域,2013-09-01 09:10:00,121.65,24.09,10.0,2.9,9
4,第101號,2013-09-01 10:28:00,120.74,23.29,13.6,4.0,9
6,小區域,2013-09-01 10:45:00,120.74,23.29,14.3,3.3,9
8,小區域,2013-09-01 13:54:00,120.95,23.21,4.0,2.9,9
10,第102號,2013-09-01 14:54:00,120.74,23.29,13.4,3.9,9
12,第103號,2013-09-03 14:24:00,121.62,24.22,20.1,3.8,9
14,小區域,2013-09-03 17:54:00,120.55,21.89,40.4,4.3,9
16,小區域,2013-09-03 18:17:00,121.73,24.26,10.5,2.3,9
18,小區域,2013-09-04 03:24:00,121.39,22.82,24.0,4.1,9
20,小區域,2013-09-04 06:23:00,118.76,25.64,14.7,5.3,9
21,小區域,2013-09-04 17:39:00,121.66,24.09,8.2,3.3,9
23,小區域,2013-09-05 02:48:00,121.36,23.17,17.9,3.2,9
25,小區域,2013-09-05 07:22:00,120.53,23.63,11.7,2.6,9
27,小區域,2013-09-05 11:20:00,120.92,23.8,11.9,2.9,9
29,第104號,2013-09-05 16:48:00,121.53,22.92,18.4,4.3,9
31,小區域,2013-09-06 02:38:00,121.94,24.78,80.6,4.0,9
33,第105號,2013-09-06 19:33:00,122.28,20.05,206.2,6.8,9
35,小區域,2013-09-08 04:36:00,121.04,24.75,6.9,1.9,9
37,小區域,2013-09-08 16:07:00,121.03,24.75,8.4,2.4,9
39,小區域,2013-09-09 03:06:00,121.36,24.37,8.3,3.3,9
41,小區域,2013-09-09 19:06:00,121.02,24.75,8.9,2.0,9
43,小區域,2013-09-11 07:15:00,121.37,22.73,29.2,4.3,9
45,小區域,2013-09-12 06:34:00,121.67,24.15,28.4,4.0,9
47,小區域,2013-09-13 20:13:00,121.49,24.37,5.6,2.6,9
49,小區域,2013-09-14 12:13:00,120.91,23.18,7.9,3.1,9
51,小區域,2013-09-14 14:47:00,121.48,23.96,17.5,2.5,9
53,小區域,2013-09-14 21:22:00,120.91,24.38,4.5,3.3,9
55,小區域,2013-09-15 19:25:00,122.24,24.83,13.4,3.7,9
57,小區域,2013-09-16 08:46:00,120.88,22.97,4.3,3.9,9
59,第106號,2013-09-16 09:16:00,121.69,24.14,7.5,4.1,9
61,小區域,2013-09-16 11:32:00,121.53,24.05,16.0,2.4,9
63,小區域,2013-09-17 21:38:00,121.75,24.27,14.0,2.9,9
65,小區域,2013-09-18 10:03:00,122.09,24.65,14.6,3.6,9
67,第107號,2013-09-18 11:33:00,122.09,24.64,15.1,4.5,9
69,第108號,2013-09-19 20:18:00,121.12,22.88,16.1,4.0,9
71,小區域,2013-09-20 11:30:00,121.89,24.48,22.6,2.8,9
73,第109號,2013-09-20 21:12:00,121.48,23.91,15.1,3.2,9
75,小區域,2013-09-21 07:03:00,121.48,23.37,9.4,3.5,9
77,小區域,2013-09-21 22:34:00,120.86,22.96,6.4,3.8,9
79,小區域,2013-09-22 00:26:00,121.8,24.3,14.9,3.1,9
81,小區域,2013-09-24 23:04:00,121.61,24.33,24.8,3.1,9
83,小區域,2013-09-25 07:13:00,121.69,24.13,9.5,3.1,9
85,小區域,2013-09-25 08:21:00,121.69,24.14,7.9,3.2,9
87,小區域,2013-09-25 23:54:00,120.69,23.1,7.1,3.7,9
89,小區域,2013-09-26 04:50:00,121.6,23.5,41.5,3.6,9
91,小區域,2013-09-28 14:14:00,120.95,22.59,10.9,3.1,9
93,小區域,2013-09-29 13:49:00,121.59,24.0,7.5,1.9,9
95,第110號,2013-09-30 03:50:00,120.37,22.07,45.7,4.2,9
97,小區域,2013-09-30 16:23:00,120.36,23.09,16.4,3.0,9
99,第111號,2013-09-30 20:05:00,120.96,23.85,11.1,4.7,9
0,小區域,2013-10-03 14:28:00,120.96,22.48,15.7,3.0,10
2,小區域,2013-10-03 19:18:00,121.45,24.23,6.1,2.9,10
4,小區域,2013-10-03 22:44:00,121.7,24.13,10.7,3.3,10
6,小區域,2013-10-05 21:05:00,119.5,23.96,27.5,3.1,10
8,小區域,2013-10-08 06:49:00,121.7,24.15,9.5,3.4,10
10,小區域,2013-10-08 23:30:00,121.47,23.94,16.8,2.3,10
12,小區域,2013-10-09 05:07:00,121.57,23.85,43.7,3.7,10
14,第112號,2013-10-10 12:14:00,120.93,24.08,24.0,3.4,10
16,小區域,2013-10-10 19:23:00,121.45,24.23,6.1,3.2,10
18,第113號,2013-10-11 12:45:00,121.69,25.04,143.8,4.9,10
20,小區域,2013-10-11 23:17:00,120.51,22.72,27.7,3.1,10
22,小區域,2013-10-12 11:34:00,120.58,23.07,8.1,3.6,10
24,小區域,2013-10-12 17:12:00,120.36,23.37,7.4,3.2,10
26,小區域,2013-10-12 21:31:00,120.36,23.36,9.2,2.5,10
28,小區域,2013-10-13 21:08:00,121.79,24.25,12.1,2.8,10
30,小區域,2013-10-14 01:20:00,122.85,23.01,59.0,5.2,10
32,小區域,2013-10-14 20:54:00,121.17,23.06,7.2,3.0,10
34,第114號,2013-10-15 13:42:00,121.92,24.42,21.1,3.5,10
36,第115號,2013-10-15 15:25:00,121.82,24.3,12.9,3.9,10
38,小區域,2013-10-15 21:22:00,121.62,24.57,7.6,2.9,10
40,小區域,2013-10-19 16:13:00,121.29,21.98,58.6,4.6,10
42,小區域,2013-10-19 17:00:00,121.86,24.31,11.8,2.8,10
44,小區域,2013-10-19 17:05:00,121.86,24.31,12.0,3.2,10
46,小區域,2013-10-20 01:59:00,121.84,22.41,30.8,4.3,10
48,小區域,2013-10-22 03:38:00,121.6,24.0,8.1,2.7,10
50,第116號,2013-10-22 09:59:00,121.58,23.81,27.7,4.0,10
52,第117號,2013-10-22 20:08:00,121.9,24.45,20.6,4.2,10
54,小區域,2013-10-25 12:43:00,120.64,23.36,12.6,3.2,10
56,第118號,2013-10-25 19:49:00,121.46,23.94,15.0,2.9,10
58,小區域,2013-10-26 02:01:00,120.98,24.42,4.1,3.4,10
60,小區域,2013-10-26 09:29:00,121.43,22.01,15.2,4.0,10
62,小區域,2013-10-26 12:18:00,121.85,24.27,12.4,3.2,10
64,第119號,2013-10-27 16:27:00,121.68,23.81,48.8,4.1,10
66,第120號,2013-10-28 08:24:00,119.64,24.31,35.6,4.7,10
68,小區域,2013-10-29 12:07:00,121.01,23.18,3.4,2.7,10
70,小區域,2013-10-29 17:04:00,120.42,23.4,11.7,3.3,10
72,小區域,2013-10-30 01:50:00,118.78,25.65,18.1,5.0,10
73,小區域,2013-10-30 06:17:00,122.42,25.31,237.5,5.3,10
75,小區域,2013-10-30 10:15:00,121.97,24.45,16.1,3.2,10
77,小區域,2013-10-30 18:11:00,121.81,24.41,14.0,3.0,10
79,第121號,2013-10-31 20:02:00,121.35,23.57,15.0,6.4,10
81,小區域,2013-10-31 20:11:00,121.39,23.63,10.4,3.5,10
83,小區域,2013-10-31 20:21:00,121.44,23.68,12.5,2.3,10
85,小區域,2013-10-31 20:41:00,121.39,23.59,9.5,3.1,10
87,小區域,2013-10-31 20:52:00,121.39,23.59,9.1,3.3,10
89,小區域,2013-10-31 21:04:00,121.48,23.69,13.6,2.7,10
91,小區域,2013-10-31 21:17:00,121.46,23.68,12.5,2.7,10
93,小區域,2013-10-31 21:29:00,121.41,23.58,10.4,4.0,10
95,第122號,2013-10-31 21:45:00,121.4,23.58,9.1,4.6,10
97,第123號,2013-10-31 21:57:00,121.38,23.59,10.0,4.6,10
99,小區域,2013-10-31 22:11:00,121.47,23.69,15.1,2.8,10
101,第124號,2013-10-31 22:25:00,121.44,23.7,14.4,3.2,10
103,小區域,2013-10-31 22:27:00,121.43,23.63,9.8,3.9,10
105,小區域,2013-10-31 22:28:00,121.43,23.71,13.8,3.2,10
107,小區域,2013-10-31 23:08:00,121.44,23.68,9.3,2.8,10
109,第125號,2013-10-31 23:47:00,121.43,23.63,10.1,5.1,10
0,小區域,2013-11-01 00:05:00,121.42,23.74,10.1,3.6,11
2,第126號,2013-11-01 00:05:00,121.33,23.61,7.7,4.4,11
4,小區域,2013-11-01 00:28:00,121.41,23.69,10.8,3.4,11
6,小區域,2013-11-01 01:09:00,121.39,23.71,9.7,3.1,11
8,小區域,2013-11-01 01:17:00,121.4,23.73,16.1,3.3,11
10,第127號,2013-11-01 03:27:00,121.42,23.76,22.1,4.2,11
12,第128號,2013-11-01 04:30:00,121.36,23.7,6.4,3.7,11
14,第129號,2013-11-01 04:44:00,121.3,23.65,8.9,3.9,11
16,第130號,2013-11-01 07:52:00,121.47,23.76,21.2,4.5,11
18,小區域,2013-11-01 07:58:00,121.42,23.76,14.7,3.5,11
20,第131號,2013-11-01 10:20:00,121.36,23.72,10.9,3.5,11
22,小區域,2013-11-01 16:08:00,121.34,23.7,14.2,3.3,11
24,第132號,2013-11-01 19:52:00,121.42,23.76,16.2,3.9,11
26,第133號,2013-11-01 21:30:00,121.39,23.73,9.8,3.6,11
28,第134號,2013-11-01 22:29:00,121.45,23.75,6.8,3.4,11
30,第135號,2013-11-01 22:48:00,121.45,23.74,8.4,3.1,11
32,小區域,2013-11-01 23:49:00,121.38,23.69,8.8,3.2,11
34,第136號,2013-11-02 00:31:00,121.37,23.75,17.5,3.5,11
36,小區域,2013-11-02 06:16:00,121.37,23.69,7.3,3.3,11
38,小區域,2013-11-02 14:53:00,121.51,23.71,24.8,4.0,11
40,第137號,2013-11-02 22:23:00,121.44,23.72,11.7,4.1,11
42,小區域,2013-11-02 22:29:00,121.42,23.73,12.8,3.8,11
44,第138號,2013-11-02 22:57:00,121.45,23.76,13.7,3.7,11
46,小區域,2013-11-02 22:59:00,121.41,23.74,14.1,3.5,11
48,小區域,2013-11-03 01:28:00,121.34,23.59,10.9,3.6,11
50,第139號,2013-11-03 11:43:00,121.4,23.7,5.0,4.3,11
52,小區域,2013-11-03 14:12:00,121.79,24.42,21.5,3.4,11
54,小區域,2013-11-04 01:50:00,121.44,23.74,13.3,3.4,11
56,第140號,2013-11-04 06:56:00,121.51,23.9,22.2,4.7,11
58,第141號,2013-11-04 07:13:00,121.46,23.94,20.8,3.9,11
60,小區域,2013-11-04 09:01:00,121.35,23.63,10.3,3.6,11
62,小區域,2013-11-04 10:48:00,121.42,23.74,13.8,3.7,11
64,小區域,2013-11-04 12:32:00,121.42,23.74,13.3,3.2,11
66,小區域,2013-11-04 18:32:00,121.44,23.96,20.7,3.8,11
68,小區域,2013-11-04 23:31:00,121.4,23.71,7.9,3.3,11
70,第142號,2013-11-04 23:42:00,121.45,23.93,21.4,3.6,11
72,小區域,2013-11-05 17:49:00,121.35,23.72,15.2,3.2,11
74,小區域,2013-11-05 18:55:00,121.39,23.73,13.4,3.4,11
76,小區域,2013-11-05 21:44:00,121.39,23.76,20.3,3.2,11
78,小區域,2013-11-06 00:28:00,121.3,23.68,11.5,3.8,11
80,小區域,2013-11-06 00:46:00,121.69,24.03,26.1,3.5,11
82,小區域,2013-11-06 06:09:00,121.54,23.96,15.6,3.5,11
84,第143號,2013-11-06 14:17:00,120.72,23.15,10.9,3.6,11
86,小區域,2013-11-06 15:11:00,120.5,23.12,21.6,4.2,11
88,第144號,2013-11-07 15:25:00,121.64,24.1,8.6,4.3,11
90,小區域,2013-11-07 15:30:00,121.58,24.08,5.8,3.2,11
92,第145號,2013-11-07 15:31:00,121.57,24.1,14.4,4.7,11
94,小區域,2013-11-08 03:27:00,121.96,24.82,5.2,3.9,11
96,小區域,2013-11-08 08:49:00,121.37,23.68,5.5,3.4,11
98,小區域,2013-11-09 13:11:00,121.58,24.07,6.4,3.1,11
100,小區域,2013-11-09 13:31:00,121.6,24.07,7.2,3.3,11
102,小區域,2013-11-09 13:33:00,121.58,24.06,12.3,3.1,11
104,小區域,2013-11-10 08:07:00,121.6,24.07,5.5,3.3,11
106,小區域,2013-11-10 08:40:00,121.41,23.74,19.3,3.4,11
108,小區域,2013-11-10 12:15:00,121.67,24.15,8.1,3.7,11
110,小區域,2013-11-10 12:16:00,121.7,24.14,6.2,3.6,11
112,小區域,2013-11-10 19:23:00,121.75,24.62,7.6,3.5,11
114,小區域,2013-11-11 01:58:00,121.62,24.12,10.1,3.4,11
116,小區域,2013-11-11 01:59:00,121.62,24.11,11.9,3.3,11
118,第146號,2013-11-11 12:55:00,123.23,24.64,103.0,5.7,11
120,小區域,2013-11-11 16:24:00,121.69,24.13,9.7,3.4,11
122,小區域,2013-11-11 19:28:00,121.41,23.65,15.8,3.3,11
124,第147號,2013-11-11 20:50:00,121.67,24.14,17.3,3.9,11
126,小區域,2013-11-11 20:55:00,121.68,24.12,10.7,3.5,11
128,小區域,2013-11-11 22:55:00,121.43,23.89,13.3,3.3,11
130,小區域,2013-11-12 06:19:00,120.3,23.19,15.7,3.6,11
132,第148號,2013-11-12 07:19:00,121.66,24.07,6.1,3.9,11
134,小區域,2013-11-12 19:40:00,121.42,23.84,12.9,3.6,11
136,第149號,2013-11-12 20:08:00,121.42,23.81,19.5,4.1,11
138,小區域,2013-11-12 20:11:00,121.42,23.83,14.1,3.6,11
140,第150號,2013-11-12 20:32:00,121.4,23.81,18.8,3.9,11
142,小區域,2013-11-12 21:55:00,122.02,24.86,71.4,4.4,11
144,小區域,2013-11-13 14:16:00,120.24,23.3,13.6,4.0,11
146,小區域,2013-11-13 17:40:00,121.36,23.74,18.3,3.5,11
148,小區域,2013-11-13 21:47:00,121.72,24.4,13.7,3.2,11
150,第151號,2013-11-15 11:26:00,121.01,23.97,8.2,3.9,11
152,小區域,2013-11-15 23:43:00,120.61,23.58,11.3,3.4,11
154,第152號,2013-11-16 03:39:00,122.44,23.92,16.9,5.2,11
156,小區域,2013-11-16 21:36:00,121.39,23.77,20.9,3.4,11
158,小區域,2013-11-17 05:40:00,121.35,23.03,17.4,4.1,11
160,小區域,2013-11-18 02:58:00,122.02,24.74,11.7,4.1,11
162,小區域,2013-11-18 11:00:00,121.45,23.72,9.5,3.4,11
164,小區域,2013-11-19 11:09:00,121.53,24.46,7.3,3.4,11
166,小區域,2013-11-21 03:10:00,120.72,23.49,13.8,3.6,11
168,第153號,2013-11-21 15:36:00,121.96,24.96,104.3,4.6,11
170,小區域,2013-11-23 04:18:00,120.39,23.47,7.2,3.4,11
172,小區域,2013-11-23 09:43:00,121.35,23.71,20.0,3.3,11
174,小區域,2013-11-23 17:01:00,121.93,24.17,27.2,4.4,11
176,小區域,2013-11-23 17:14:00,121.93,24.17,27.6,3.9,11
178,小區域,2013-11-24 09:48:00,121.31,23.71,11.4,3.3,11
180,第154號,2013-11-24 18:57:00,121.76,24.3,23.7,3.9,11
182,第155號,2013-11-24 18:59:00,121.74,24.3,23.1,4.0,11
184,小區域,2013-11-24 19:00:00,121.77,24.3,17.7,3.7,11
186,第156號,2013-11-24 21:01:00,121.76,24.3,16.2,3.8,11
188,小區域,2013-11-26 05:55:00,120.87,24.24,33.0,3.4,11
190,第157號,2013-11-26 14:33:00,121.35,23.64,15.3,3.8,11
192,第158號,2013-11-26 15:51:00,121.38,23.3,13.8,3.7,11
194,小區域,2013-11-27 16:39:00,121.37,23.71,17.8,3.4,11
196,小區域,2013-11-29 09:59:00,120.77,24.08,27.9,3.6,11
